dateTimeStamp,TC_gaze,TC_exposure_only
2023-09-25 13:05:04,0,1
2023-09-25 13:05:06,0,1
2023-09-25 13:05:08,0,1
2023-09-25 13:05:10,0,1
2023-09-25 13:05:12,0,1
2023-09-25 13:05:14,0,1
2023-09-25 13:05:16,0,1
2023-09-25 13:05:18,0,1
2023-09-25 13:05:20,0,1
2023-09-25 13:05:22,1,0
2023-09-25 13:05:24,0,1
2023-09-25 13:05:26,0,1
2023-09-25 13:05:28,0,1
2023-09-25 13:05:30,0,1
2023-09-25 13:05:32,0,1
2023-09-25 13:05:34,0,1
2023-09-25 13:05:36,1,0
2023-09-25 13:05:38,0,1
2023-09-25 13:05:40,0,1
2023-09-25 13:05:42,0,1
2023-09-25 13:05:43,0,1
2023-09-25 13:05:45,0,1
2023-09-25 13:05:47,0,1
2023-09-25 13:05:49,0,1
2023-09-25 13:05:51,0,1
2023-09-25 13:05:53,0,1
2023-09-25 13:05:55,0,1
2023-09-25 13:05:57,0,1
2023-09-25 13:05:59,0,1
2023-09-25 13:06:01,0,1
2023-09-25 13:06:03,0,1
2023-09-25 13:06:05,0,1
2023-09-25 13:06:07,0,1
2023-09-25 13:06:09,0,1
2023-09-25 13:06:11,0,1
2023-09-25 13:06:13,0,1
2023-09-25 13:06:15,0,1
2023-09-25 13:06:17,0,1
2023-09-25 13:06:19,0,1
2023-09-25 13:06:21,0,1
2023-09-25 13:06:23,0,1
2023-09-25 13:06:25,0,1
2023-09-25 13:06:27,0,1
2023-09-25 13:06:29,0,1
2023-09-25 13:06:31,0,1
2023-09-25 13:06:33,0,1
2023-09-25 13:06:35,0,1
2023-09-25 13:06:37,0,1
2023-09-25 13:06:39,0,1
2023-09-25 13:06:40,0,1
2023-09-25 13:06:42,0,1
2023-09-25 13:06:44,0,1
2023-09-25 13:06:46,1,0
2023-09-25 13:06:48,0,1
2023-09-25 13:06:50,0,1
2023-09-25 13:06:52,0,1
2023-09-25 13:06:54,0,1
2023-09-25 13:06:56,0,1
2023-09-25 13:06:58,0,1
2023-09-25 13:07:00,0,1
2023-09-25 13:07:02,0,1
2023-09-25 13:07:04,0,1
2023-09-25 13:07:06,0,1
2023-09-25 13:07:08,0,1
2023-09-25 13:07:10,0,1
2023-09-25 13:07:12,0,1
2023-09-25 13:07:14,0,1
2023-09-25 13:07:16,0,1
2023-09-25 13:07:18,0,1
2023-09-25 13:07:20,0,1
2023-09-25 13:07:22,0,1
2023-09-25 13:07:24,0,1
2023-09-25 13:07:26,0,1
2023-09-25 13:07:28,0,1
2023-09-25 13:07:30,0,1
2023-09-25 13:07:32,0,1
2023-09-25 13:07:34,0,1
2023-09-25 13:07:36,0,1
2023-09-25 13:07:37,0,1
2023-09-25 13:07:39,0,1
2023-09-25 13:07:41,0,1
2023-09-25 13:07:43,0,1
2023-09-25 13:07:45,0,1
2023-09-25 13:07:47,0,1
2023-09-25 13:07:49,0,1
2023-09-25 13:07:51,0,1
2023-09-25 13:07:53,0,1
2023-09-25 13:07:55,0,1
2023-09-25 13:07:57,0,1
2023-09-25 13:07:59,0,1
2023-09-25 13:08:01,0,1
2023-09-25 13:08:03,0,1
2023-09-25 13:08:05,0,1
2023-09-25 13:08:07,0,1
2023-09-25 13:08:09,0,1
2023-09-25 13:08:11,0,1
2023-09-25 13:08:13,0,1
2023-09-25 13:08:15,0,1
2023-09-25 13:08:17,0,1
2023-09-25 13:08:19,0,1
2023-09-25 13:08:21,0,1
2023-09-25 13:08:23,0,1
2023-09-25 13:08:25,0,1
2023-09-25 13:08:27,0,1
2023-09-25 13:08:29,0,1
2023-09-25 13:08:31,0,1
2023-09-25 13:08:33,0,1
2023-09-25 13:08:34,0,1
2023-09-25 13:08:36,0,1
2023-09-25 13:08:38,0,1
2023-09-25 13:08:40,0,1
2023-09-25 13:08:42,0,1
2023-09-25 13:08:44,0,1
2023-09-25 13:08:46,0,1
2023-09-25 13:08:48,0,1
2023-09-25 13:08:50,0,1
2023-09-25 13:08:52,0,1
2023-09-25 13:08:54,0,1
2023-09-25 13:08:56,0,1
2023-09-25 13:08:58,0,1
2023-09-25 13:09:00,0,1
2023-09-25 13:09:02,0,1
2023-09-25 13:09:04,0,1
2023-09-25 13:09:06,0,1
2023-09-25 13:09:08,0,1
2023-09-25 13:09:10,0,1
2023-09-25 13:09:12,0,1
2023-09-25 13:09:14,0,1
2023-09-25 13:09:16,0,1
2023-09-25 13:09:18,0,1
2023-09-25 13:09:20,0,1
2023-09-25 13:09:22,0,1
2023-09-25 13:09:24,0,1
2023-09-25 13:09:26,0,1
2023-09-25 13:09:28,0,1
2023-09-25 13:09:29,0,1
2023-09-25 13:09:31,0,1
2023-09-25 13:09:33,0,1
2023-09-25 13:09:35,0,1
2023-09-25 13:09:37,0,1
2023-09-25 13:09:39,1,0
2023-09-25 13:09:41,0,1
2023-09-25 13:09:43,0,1
2023-09-25 13:09:45,0,1
2023-09-25 13:09:47,0,1
2023-09-25 13:09:49,0,1
2023-09-25 13:09:51,0,1
2023-09-25 13:09:53,0,1
2023-09-25 13:09:55,0,1
2023-09-25 13:09:57,0,1
