date TimeStamp frameNum numFaces tcPresent phi theta sigma rot. top left bottom right tag
2023-09-25 13:35:36.919435 062667 3 1 0.08565943 -0.16333786 0.055423617 19.798876354524932 100 448 121 467 Gaze-det
2023-09-25 13:35:38.887344 062726 3 1 0.024853185 -0.19828705 0.036218237 12.094757077012101 97 435 118 453 Gaze-det
2023-09-25 13:35:44.784886 062903 3 1 0.13957046 -0.5139822 0.08777592 0.0 102 422 122 439 Gaze-det
2023-09-25 13:35:46.747227 062962 3 1 0.20461972 -0.61432624 0.14953572 -6.581944655178011 102 422 123 439 Gaze-det
2023-09-25 13:35:48.717320 063021 3 1 0.6110822 0.11602099 0.04382045 15.255118703057777 100 423 120 440 Gaze-det
2023-09-25 13:35:50.679126 063080 3 1 0.81702566 0.13321511 0.0410717 15.255118703057777 100 421 121 438 Gaze-det
2023-09-25 13:35:52.645606 063139 3 1 0.027590876 -0.11642017 0.048115082 0.0 100 423 121 440 Gaze-det
2023-09-25 13:35:54.606971 063198 3 1 0.6658398 0.07629474 0.037346072 0.0 100 420 121 437 Gaze-det
2023-09-25 13:35:56.576957 063257 3 1 0.13180909 -0.22712281 0.053084973 6.84277341263094 101 422 121 440 Gaze-det
2023-09-25 13:35:58.530110 063316 3 1 0.43379673 -0.65681565 0.12986562 6.84277341263094 103 423 124 440 Gaze-det
2023-09-25 13:36:00.495451 063375 3 1 0.102070816 0.031072317 0.062448304 15.255118703057777 101 422 121 439 Gaze-det
2023-09-25 13:36:02.471854 063434 3 1 0.056165166 0.017890476 0.051449414 7.765166018425333 101 423 121 439 Gaze-det
2023-09-25 13:36:04.437624 063493 3 1 0.071437314 -0.03977962 0.06556824 6.84277341263094 101 423 121 439 Gaze-det
2023-09-25 13:36:06.400255 063552 3 1 0.7301025 -0.6202261 0.16987905 15.255118703057777 104 424 123 442 Gaze-det
2023-09-25 13:36:08.364961 063611 3 1 0.56340545 -0.72829634 0.17511217 15.255118703057777 103 424 123 441 Gaze-det
2023-09-25 13:36:10.330741 063670 3 1 0.14504069 -0.040002856 0.09282975 7.765166018425333 102 423 122 440 Gaze-det
2023-09-25 13:36:12.298232 063729 3 1 0.0023311188 -0.07356265 0.09444101 7.765166018425333 101 423 121 440 Gaze-det
2023-09-25 13:36:14.260233 063788 3 1 1.0955907 0.08199175 0.05505814 -7.765166018425333 104 418 126 434 Gaze-det
2023-09-25 13:36:16.229342 063847 3 1 0.30172685 -0.66427845 0.17916235 6.84277341263094 104 422 124 439 Gaze-det
2023-09-25 13:36:24.089352 064083 2 0 None None None None None None None Gaze-no-det
2023-09-25 13:36:18.181465 063906 3 1 -0.043532018 -0.22094038 0.03634163 0.0 106 420 127 437 Gaze-det
2023-09-25 13:36:20.152535 063965 3 1 0.6299961 0.030166512 0.051783293 0.0 106 420 127 437 Gaze-det
2023-09-25 13:36:22.119189 064024 3 1 0.101488985 -0.67022514 0.14561467 6.84277341263094 105 423 125 440 Gaze-det
2023-09-25 13:36:26.050995 064142 2 1 -0.06402931 -0.17028618 0.063729 6.84277341263094 102 422 123 439 Gaze-det
2023-09-25 13:36:28.017167 064201 3 1 0.38600448 -0.70231646 0.15195812 6.84277341263094 103 423 124 440 Gaze-det
2023-09-25 13:36:29.983188 064260 3 1 0.41495946 -0.45428526 0.05740676 7.765166018425333 103 423 124 440 Gaze-det
2023-09-25 13:36:31.948829 064319 3 1 0.04672835 -0.2017129 0.035288144 0.0 90 392 113 410 Gaze-det
2023-09-25 13:36:33.910937 064378 3 1 0.07329075 -0.45365456 0.037199553 0.0 101 395 129 416 Gaze-det
2023-09-25 13:36:35.881520 064437 2 1 0.1437228 -0.21778402 0.030177142 8.13010235415598 150 357 177 377 Gaze-det
2023-09-25 13:36:37.843729 064496 3 1 -1.3318506 0.123977676 0.038101755 -42.70938995736147 144 342 167 368 Gaze-det
2023-09-25 13:36:39.799146 064555 3 1 -1.383332 -0.06280565 0.06970498 -29.357753542791276 147 349 171 370 Gaze-det
2023-09-25 13:36:41.761222 064614 3 1 -1.3499515 -0.011025897 0.096543945 -29.357753542791276 148 350 172 372 Gaze-det
2023-09-25 13:36:43.740874 064673 3 1 0.121867925 -0.12135215 0.0274151 5.042451069170913 153 350 182 373 Gaze-det
2023-09-25 13:36:45.703317 064732 3 1 0.59305745 -0.42469534 0.03770483 5.042451069170913 164 331 195 354 Gaze-det
2023-09-25 13:36:47.673189 064791 3 1 0.7322479 -0.535148 0.047979224 10.954062643398334 165 331 196 354 Gaze-det
2023-09-25 13:36:49.635296 064850 3 1 0.044756904 -0.16466206 0.027807005 5.042451069170913 165 332 195 356 Gaze-det
2023-09-25 13:36:51.601458 064909 3 1 1.2015595 0.070346 0.06882672 31.6075022462489 161 335 191 361 Gaze-det
2023-09-25 13:36:53.563437 064968 3 1 0.9232974 -0.1575102 0.04909486 43.72696997994329 162 337 191 364 Gaze-det
2023-09-25 13:36:55.532977 065027 3 1 1.049491 -0.7311746 0.12814589 36.15818543980833 161 334 192 360 Gaze-det
2023-09-25 13:36:57.495466 065086 3 1 0.047354363 -0.23294856 0.031649023 0.0 163 333 195 358 Gaze-det
2023-09-25 13:36:59.451568 065145 3 0 None None None None None None None Gaze-no-det
2023-09-25 13:37:13.215321 065558 2 0 None None None None None None None Gaze-no-det
2023-09-25 13:37:01.423691 065204 3 1 0.69289845 -0.44525483 0.054265134 12.094757077012101 166 326 197 349 Gaze-det
2023-09-25 13:37:03.388431 065263 3 1 1.6717281 -0.39703566 0.16853124 49.398705354995535 165 324 194 344 Gaze-det
2023-09-25 13:37:05.355342 065322 3 1 1.8447664 0.2398304 0.10409461 26.56505117707799 164 325 194 345 Gaze-det
2023-09-25 13:37:07.321509 065381 3 1 1.3196338 -1.0757637 0.14460433 33.690067525979785 168 327 197 348 Gaze-det
2023-09-25 13:37:09.287327 065440 3 1 0.023754751 -0.09098081 0.027844405 0.0 171 329 203 353 Gaze-det
2023-09-25 13:37:11.254262 065499 3 1 -0.77697563 -0.6723303 0.14058167 -5.35582504285519 164 346 194 368 Gaze-det
2023-09-25 13:37:15.182026 065617 3 1 -0.21023212 -0.5282187 0.105490126 4.899092453787765 158 334 190 359 Gaze-det
2023-09-25 13:37:17.146955 065676 3 1 -0.44091585 -0.77362996 0.1459479 -16.460014812040036 273 248 311 280 Gaze-det
2023-09-25 13:37:19.113593 065735 3 1 0.0038019 -0.28082985 0.032816686 0.0 263 254 303 284 Gaze-det
2023-09-25 13:37:21.076276 065794 3 1 -0.20195912 -1.0948285 0.17980711 -3.90049374238189 263 254 303 285 Gaze-det
2023-09-25 13:37:23.036323 065853 3 1 0.019169278 -0.18791053 0.028465675 5.572197803963795 271 261 310 290 Gaze-det
