dateTimeStamp,TC_gaze,TC_exposure_only
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:57,1,0
9/25/2023 12:57,0,0
9/25/2023 12:57,0,1
9/25/2023 12:57,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,1,0
9/25/2023 12:58,0,0
9/25/2023 12:58,1,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,1
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:58,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
9/25/2023 12:59,0,0
