timestamp,orig_framenumber,timestamp_number,flash_prediction,Gold_standard,TC_Present
2023-09-25 12:57:10.619852,9828,46630,1,0,1
2023-09-25 12:57:12.611852,9858,46632,1,0,1
2023-09-25 12:57:14.612088,9888,46634,1,1,1
2023-09-25 12:57:16.610031,9918,46636,1,1,1
2023-09-25 12:57:18.604071,9948,46638,0,1,1
2023-09-25 12:57:20.593817,9978,46640,1,1,1
2023-09-25 12:57:22.595681,10008,46642,1,1,1
2023-09-25 12:57:24.597946,10038,46644,1,1,1
2023-09-25 12:57:26.592116,10068,46646,1,1,1
2023-09-25 12:57:28.589769,10098,46648,1,1,1
2023-09-25 12:57:30.583849,10128,46650,1,1,1
2023-09-25 12:57:32.577087,10158,46652,1,1,1
2023-09-25 12:57:34.566014,10188,46654,1,0,1
2023-09-25 12:57:36.573642,10218,46656,0,0,1
2023-09-25 12:57:38.567621,10248,46658,0,0,1
2023-09-25 12:57:40.566068,10278,46660,0,0,1
2023-09-25 12:57:42.560148,10308,46662,0,0,1
2023-09-25 12:57:44.558035,10338,46664,0,0,1
2023-09-25 12:57:46.556832,10368,46666,0,0,1
2023-09-25 12:57:48.553964,10398,46668,0,0,1
2023-09-25 12:57:50.548237,10428,46670,0,0,1
2023-09-25 12:57:52.540120,10458,46672,1,0,1
2023-09-25 12:57:54.531380,10488,46674,0,0,1
2023-09-25 12:57:56.537537,10518,46676,0,0,1
2023-09-25 12:57:58.531548,10548,46678,0,0,1
2023-09-25 12:58:00.529792,10578,46680,0,0,1
2023-09-25 12:58:02.526609,10608,46682,0,0,1
2023-09-25 12:58:04.522900,10638,46684,1,1,1
2023-09-25 12:58:06.519616,10668,46686,1,1,1
2023-09-25 12:58:08.517503,10698,46688,0,0,1
2023-09-25 12:58:10.382965,10737,46690,0,0,1
2023-09-25 12:58:12.304974,10794,46692,0,0,1
2023-09-25 12:58:14.268629,10853,46694,0,0,1
2023-09-25 12:58:16.244654,10912,46696,0,0,1
2023-09-25 12:58:18.207425,10971,46698,0,0,1
2023-09-25 12:58:20.177158,11030,46700,0,0,1
2023-09-25 12:58:22.138734,11089,46702,0,0,1
2023-09-25 12:58:24.105335,11148,46704,0,0,1
2023-09-25 12:58:26.066703,11207,46706,0,0,1
2023-09-25 12:58:28.036676,11266,46708,0,2,0
2023-09-25 12:58:29.998414,11325,46709,0,2,0
2023-09-25 12:58:31.965148,11384,46711,0,2,0
2023-09-25 12:58:33.930572,11443,46713,0,2,0
2023-09-25 12:58:35.897310,11502,46715,0,2,0
2023-09-25 12:58:37.858803,11561,46717,0,2,0
2023-09-25 12:58:39.829350,11620,46719,0,2,0
2023-09-25 12:58:41.790539,11679,46721,0,2,0
2023-09-25 12:58:43.757971,11738,46723,0,2,0
2023-09-25 12:58:45.719044,11797,46725,0,2,0
2023-09-25 12:58:47.688692,11856,46727,0,2,0
2023-09-25 12:58:49.650632,11915,46729,0,2,0
2023-09-25 12:58:51.616654,11974,46731,0,2,0
2023-09-25 12:58:53.582992,12033,46733,0,2,0
2023-09-25 12:58:55.549160,12092,46735,0,2,0
2023-09-25 12:58:57.510987,12151,46737,0,2,0
2023-09-25 12:58:59.477025,12210,46739,0,2,0
2023-09-25 12:59:01.443031,12269,46741,0,2,0
2023-09-25 12:59:03.408948,12328,46743,0,2,0
2023-09-25 12:59:05.371480,12387,46745,0,2,0
2023-09-25 12:59:07.340720,12446,46747,0,2,0
2023-09-25 12:59:09.302662,12505,46749,0,2,0
2023-09-25 12:59:11.268784,12564,46751,0,2,0
2023-09-25 12:59:13.231456,12623,46753,0,2,0
2023-09-25 12:59:15.201098,12682,46755,0,2,0
2023-09-25 12:59:17.162874,12741,46757,0,2,0
2023-09-25 12:59:19.128930,12800,46759,0,2,0
2023-09-25 12:59:21.094884,12859,46761,0,2,0
2023-09-25 12:59:23.060757,12918,46763,0,2,0
2023-09-25 12:59:25.022699,12977,46765,0,2,0
2023-09-25 12:59:26.998058,13036,46766,0,2,0
2023-09-25 12:59:28.954874,13095,46768,0,2,0
2023-09-25 12:59:30.920713,13154,46770,0,2,0
